utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670827.815	3529876.228	3.077	0.028	2.630	-0.004	-0.006	-0.004	-0.011	0.787	-0.088	0.000	0.000	118.8063069	31.8918962
670827.825	3529876.095	3.077	0.037	2.648	-0.002	-0.003	-0.002	-0.052	0.496	-0.143	0.000	0.000	118.8063070	31.8918950
670827.834	3529875.960	3.076	0.042	2.665	0.004	-0.003	0.004	0.055	0.644	-0.145	0.000	0.000	118.8063070	31.8918938
670827.834	3529875.960	3.076	0.056	2.665	0.009	0.003	0.009	0.025	0.661	-0.437	0.000	0.000	118.8063070	31.8918938
670827.843	3529875.823	3.076	0.056	2.682	0.007	0.008	0.007	0.063	0.880	-0.227	0.000	0.000	118.8063071	31.8918925
670827.843	3529875.823	3.076	0.065	2.682	0.028	0.013	0.028	-0.005	1.504	0.271	0.000	0.000	118.8063071	31.8918925
670827.853	3529875.684	3.076	0.069	2.700	0.001	-0.012	0.001	-0.062	0.904	0.393	0.000	0.000	118.8063072	31.8918913
670827.863	3529875.542	3.076	0.069	2.717	-0.003	-0.014	-0.003	-0.035	1.348	0.122	0.000	0.000	118.8063073	31.8918900
670827.863	3529875.542	3.076	0.069	2.717	-0.003	-0.003	-0.003	0.010	1.003	0.233	0.000	0.000	118.8063073	31.8918900
670827.873	3529875.398	3.076	-0.037	2.717	0.004	0.008	0.004	-0.090	0.531	-0.020	0.000	0.000	118.8063073	31.8918887
670827.873	3529875.398	3.076	-0.037	2.969	0.001	0.007	0.001	0.003	0.870	0.016	0.000	0.000	118.8063073	31.8918887
670827.883	3529875.252	3.076	-0.042	2.969	0.014	-0.001	0.014	0.061	0.718	-0.258	0.000	0.000	118.8063074	31.8918874
670827.893	3529875.103	3.076	-0.037	2.986	0.004	-0.010	0.004	-0.105	0.595	-0.164	0.000	0.000	118.8063075	31.8918860
670827.893	3529875.103	3.076	-0.032	2.986	0.009	-0.005	0.009	-0.041	0.879	-0.005	0.000	0.000	118.8063075	31.8918860
670827.904	3529874.952	3.076	-0.032	3.012	0.008	-0.001	0.008	0.089	0.579	0.147	0.000	0.000	118.8063076	31.8918847
670827.904	3529874.952	3.076	-0.023	3.012	0.010	-0.002	0.010	-0.135	1.632	0.007	0.000	0.000	118.8063076	31.8918847
670827.914	3529874.799	3.076	-0.019	3.030	0.004	-0.003	0.004	-0.108	0.693	0.103	0.000	0.000	118.8063077	31.8918833
670827.925	3529874.643	3.076	-0.014	3.047	0.001	-0.011	0.001	-0.137	0.759	0.076	0.000	0.000	118.8063078	31.8918819
670827.925	3529874.643	3.076	-0.009	3.047	0.002	-0.030	0.002	-0.176	1.618	0.303	0.000	0.000	118.8063078	31.8918819
670827.937	3529874.485	3.076	-0.005	3.064	-0.001	-0.012	-0.001	-0.025	0.828	0.172	0.000	0.000	118.8063079	31.8918804
670827.937	3529874.485	3.076	-0.181	3.064	0.002	-0.013	0.002	-0.027	0.608	0.176	0.000	0.000	118.8063079	31.8918804
670827.949	3529874.324	3.076	-0.181	3.064	0.006	-0.007	0.006	0.070	0.748	0.054	0.000	0.000	118.8063080	31.8918790
670827.962	3529874.162	3.076	-0.181	3.064	0.008	-0.008	0.008	0.102	0.696	-0.126	0.000	0.000	118.8063081	31.8918775
670827.962	3529874.162	3.076	-0.181	3.316	0.001	-0.001	0.001	0.205	0.764	-0.212	0.000	0.000	118.8063081	31.8918775
670827.975	3529873.998	3.076	-0.176	3.342	-0.000	0.001	-0.000	0.092	0.722	-0.097	0.000	0.000	118.8063082	31.8918761
670827.975	3529873.998	3.076	-0.162	3.342	-0.008	-0.002	-0.008	0.184	0.707	-0.052	0.000	0.000	118.8063082	31.8918761
670827.988	3529873.831	3.076	-0.162	3.359	-0.001	-0.001	-0.001	0.049	0.738	0.051	0.000	0.000	118.8063083	31.8918745
670828.001	3529873.661	3.076	-0.144	3.359	-0.009	0.002	-0.009	0.062	0.637	0.204	0.000	0.000	118.8063084	31.8918730
670828.001	3529873.661	3.076	-0.134	3.385	0.004	0.006	0.004	-0.108	0.784	0.365	0.000	0.000	118.8063084	31.8918730
670828.014	3529873.490	3.076	-0.125	3.411	0.002	0.008	0.002	0.031	1.406	0.136	0.000	0.000	118.8063085	31.8918715
670828.014	3529873.490	3.076	-0.111	3.411	0.009	-0.001	0.009	-0.081	0.584	-0.074	0.000	0.000	118.8063085	31.8918715
670828.027	3529873.317	3.076	-0.097	3.420	0.016	-0.003	0.016	-0.041	1.741	-0.194	0.000	0.000	118.8063086	31.8918699
670828.041	3529873.141	3.076	-0.088	3.420	0.004	0.001	0.004	-0.142	0.841	-0.122	0.000	0.000	118.8063087	31.8918683
670828.041	3529873.141	3.076	-0.074	3.446	-0.006	-0.005	-0.006	-0.130	0.898	-0.080	0.000	0.000	118.8063087	31.8918683
670828.055	3529872.962	3.075	0.093	3.681	-0.020	-0.014	-0.020	-0.012	1.345	0.011	0.000	0.000	118.8063088	31.8918667
670828.055	3529872.962	3.075	0.097	3.698	-0.007	-0.006	-0.007	-0.015	0.830	0.139	0.000	0.000	118.8063088	31.8918667
670828.070	3529872.781	3.075	0.102	3.698	-0.009	-0.007	-0.009	0.024	0.608	0.253	0.000	0.000	118.8063090	31.8918651
670828.085	3529872.597	3.075	0.102	3.715	-0.018	-0.006	-0.018	-0.107	2.014	0.523	0.000	0.000	118.8063091	31.8918634
670828.085	3529872.597	3.075	0.102	3.715	-0.008	-0.006	-0.008	-0.071	0.821	0.165	0.000	0.000	118.8063091	31.8918634
670828.100	3529872.412	3.075	0.102	3.741	-0.002	-0.013	-0.002	0.175	1.334	-0.291	0.000	0.000	118.8063092	31.8918617
