utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
671408.771	3529318.828	2.245	1.069	2.491	0.021	-0.005	0.021	-0.023	0.301	-0.056	0.000	0.000	118.8123487	31.8867824
671408.771	3529318.828	2.245	1.065	2.491	0.003	0.006	0.003	-0.109	0.168	0.559	0.000	0.000	118.8123487	31.8867824
671408.869	3529318.753	2.243	1.060	2.491	0.013	0.017	0.013	-0.176	0.764	1.160	0.000	0.000	118.8123497	31.8867817
671408.869	3529318.753	2.243	1.060	2.491	0.004	-0.003	0.004	-0.115	0.690	0.319	0.000	0.000	118.8123497	31.8867817
671408.969	3529318.678	2.242	1.046	2.491	0.003	-0.010	0.003	0.012	0.410	-0.036	0.000	0.000	118.8123508	31.8867810
671409.069	3529318.601	2.241	1.046	2.595	0.003	-0.012	0.003	-0.030	0.236	-0.155	0.000	0.000	118.8123518	31.8867803
671409.069	3529318.601	2.241	0.907	2.595	0.007	-0.009	0.007	-0.014	0.317	-0.365	0.000	0.000	118.8123518	31.8867803
671409.170	3529318.525	2.240	0.907	2.613	0.005	0.010	0.005	-0.058	0.441	-0.169	0.000	0.000	118.8123529	31.8867796
671409.170	3529318.525	2.240	0.903	2.613	0.002	0.015	0.002	-0.036	0.513	0.254	0.000	0.000	118.8123529	31.8867796
671409.272	3529318.447	2.239	0.894	2.622	0.001	-0.003	0.001	-0.179	0.332	0.405	0.000	0.000	118.8123540	31.8867789
671409.375	3529318.369	2.238	0.880	2.622	-0.003	-0.022	-0.003	-0.219	0.716	0.546	0.000	0.000	118.8123550	31.8867782
671409.375	3529318.369	2.238	0.870	2.630	-0.006	-0.028	-0.006	-0.379	0.965	0.462	0.000	0.000	118.8123550	31.8867782
671409.480	3529318.291	2.237	0.856	2.630	-0.004	-0.015	-0.004	-0.179	0.201	0.249	0.000	0.000	118.8123561	31.8867775
671409.480	3529318.291	2.237	0.843	2.630	-0.009	-0.015	-0.009	-0.086	0.354	0.007	0.000	0.000	118.8123561	31.8867775
671409.585	3529318.212	2.237	0.819	2.648	-0.007	-0.013	-0.007	0.029	0.388	-0.399	0.000	0.000	118.8123572	31.8867768
671409.692	3529318.134	2.237	0.796	2.648	-0.003	-0.006	-0.003	0.092	0.394	-0.671	0.000	0.000	118.8123583	31.8867760
671409.692	3529318.134	2.237	0.764	2.656	0.003	0.002	0.003	0.088	0.196	-0.331	0.000	0.000	118.8123583	31.8867760
671409.799	3529318.054	2.238	-0.991	2.656	0.002	-0.009	0.002	0.298	0.411	0.363	0.000	0.000	118.8123594	31.8867753
671409.799	3529318.054	2.238	-1.046	2.656	-0.003	-0.001	-0.003	0.270	0.483	0.555	0.000	0.000	118.8123594	31.8867753
671409.906	3529317.973	2.239	-1.102	2.769	-0.019	0.008	-0.019	0.480	0.694	0.907	0.000	0.000	118.8123606	31.8867745
671410.014	3529317.890	2.241	-1.144	2.786	-0.012	0.008	-0.012	0.144	0.235	0.351	0.000	0.000	118.8123617	31.8867738
671410.014	3529317.890	2.241	-1.190	2.786	-0.007	0.000	-0.007	0.088	0.298	-0.038	0.000	0.000	118.8123617	31.8867738
671410.123	3529317.807	2.243	-1.231	2.795	-0.011	0.004	-0.011	0.084	0.323	-0.371	0.000	0.000	118.8123628	31.8867730
671410.123	3529317.807	2.243	-1.269	2.795	0.004	0.016	0.004	0.206	0.749	-1.332	0.000	0.000	118.8123628	31.8867730
671410.232	3529317.723	2.244	-1.301	2.804	0.000	0.018	0.000	0.119	0.291	-0.644	0.000	0.000	118.8123640	31.8867722
671410.342	3529317.638	2.246	-1.352	2.804	-0.002	0.020	-0.002	0.087	0.552	0.667	0.000	0.000	118.8123651	31.8867715
671410.342	3529317.638	2.246	-1.375	2.804	-0.005	0.005	-0.005	0.089	0.492	0.716	0.000	0.000	118.8123651	31.8867715
671410.452	3529317.552	2.248	-1.394	2.812	-0.015	0.002	-0.015	0.047	0.209	0.651	0.000	0.000	118.8123663	31.8867707
671410.452	3529317.552	2.248	-1.407	2.812	-0.020	0.005	-0.020	0.036	0.594	0.629	0.000	0.000	118.8123663	31.8867707
671410.564	3529317.466	2.249	-1.014	2.812	-0.024	0.008	-0.024	0.106	0.038	0.174	0.000	0.000	118.8123674	31.8867699
671410.676	3529317.378	2.250	-0.977	2.812	-0.031	0.012	-0.031	0.062	0.263	-0.183	0.000	0.000	118.8123686	31.8867691
671410.676	3529317.378	2.250	-0.977	2.917	-0.003	0.010	-0.003	0.045	0.150	-0.622	0.000	0.000	118.8123686	31.8867691
671410.788	3529317.289	2.251	-0.912	2.917	0.007	0.003	0.007	0.058	0.207	-1.140	0.000	0.000	118.8123698	31.8867683
671410.788	3529317.289	2.251	-0.875	2.917	0.027	0.005	0.027	0.015	0.670	-0.828	0.000	0.000	118.8123698	31.8867683
671410.902	3529317.199	2.252	-0.843	2.934	0.014	0.007	0.014	-0.073	0.810	0.344	0.000	0.000	118.8123710	31.8867674
671411.016	3529317.108	2.253	-0.773	2.934	0.008	0.009	0.008	-0.041	0.614	0.532	0.000	0.000	118.8123721	31.8867666
671411.016	3529317.108	2.253	-0.773	2.934	-0.027	0.012	-0.027	0.043	1.347	1.020	0.000	0.000	118.8123721	31.8867666
671411.133	3529317.016	2.253	-0.741	2.934	-0.007	0.002	-0.007	-0.068	0.588	0.445	0.000	0.000	118.8123734	31.8867657
671411.133	3529317.016	2.253	-0.704	2.951	-0.011	-0.013	-0.011	-0.137	0.329	0.034	0.000	0.000	118.8123734	31.8867657
671411.251	3529316.924	2.254	-0.639	2.951	0.006	-0.016	0.006	-0.055	0.726	-0.138	0.000	0.000	118.8123746	31.8867649
671411.371	3529316.830	2.254	-0.611	2.960	0.012	-0.011	0.012	0.037	0.324	-0.183	0.000	0.000	118.8123758	31.8867640
671411.371	3529316.830	2.254	-0.579	2.960	0.006	0.001	0.006	0.015	0.825	0.069	0.000	0.000	118.8123758	31.8867640
671411.492	3529316.735	2.254	-0.579	3.151	0.004	0.005	0.004	0.078	0.948	0.066	0.000	0.000	118.8123771	31.8867631
671411.492	3529316.735	2.254	-0.282	3.151	0.019	-0.001	0.019	0.110	0.753	-0.364	0.000	0.000	118.8123771	31.8867631
671411.614	3529316.639	2.255	-0.287	3.160	-0.022	-0.019	-0.022	0.345	0.830	-0.018	0.000	0.000	118.8123784	31.8867623
671411.737	3529316.541	2.255	-0.292	3.160	0.010	-0.004	0.010	0.076	0.828	0.122	0.000	0.000	118.8123797	31.8867614
671411.737	3529316.541	2.255	-0.296	3.177	0.002	0.003	0.002	0.196	0.227	-0.228	0.000	0.000	118.8123797	31.8867614
671411.861	3529316.442	2.255	-0.301	3.194	-0.005	0.018	-0.005	0.039	1.664	-0.091	0.000	0.000	118.8123810	31.8867605
671411.861	3529316.442	2.255	-0.301	3.194	0.002	0.007	0.002	-0.026	0.226	-0.138	0.000	0.000	118.8123810	31.8867605
671411.987	3529316.342	2.255	-0.306	3.203	-0.004	-0.006	-0.004	-0.142	0.719	0.021	0.000	0.000	118.8123823	31.8867595
671412.115	3529316.241	2.256	-0.306	3.203	0.009	-0.010	0.009	-0.058	0.754	0.139	0.000	0.000	118.8123836	31.8867586
671412.115	3529316.241	2.256	-0.306	3.220	-0.005	-0.012	-0.005	-0.090	0.827	0.012	0.000	0.000	118.8123836	31.8867586
671412.243	3529316.139	2.256	-0.306	3.220	0.007	0.003	0.007	-0.139	0.511	-0.021	0.000	0.000	118.8123849	31.8867577
671412.243	3529316.139	2.256	-0.306	3.229	0.004	0.003	0.004	0.054	0.599	0.152	0.000	0.000	118.8123849	31.8867577
671412.374	3529316.036	2.256	-0.315	3.229	-0.013	-0.004	-0.013	0.108	0.581	0.094	0.000	0.000	118.8123863	31.8867567
671412.506	3529315.932	2.257	-0.315	3.420	-0.016	-0.005	-0.016	0.230	0.595	0.167	0.000	0.000	118.8123877	31.8867558
671412.506	3529315.932	2.257	-0.310	3.420	-0.016	0.003	-0.016	0.271	0.800	0.010	0.000	0.000	118.8123877	31.8867558
671412.639	3529315.826	2.257	-0.310	3.429	-0.006	0.001	-0.006	0.138	0.624	0.069	0.000	0.000	118.8123891	31.8867548
671412.639	3529315.826	2.257	-0.306	3.429	0.001	0.008	0.001	0.071	0.605	0.255	0.000	0.000	118.8123891	31.8867548
671412.773	3529315.720	2.257	-0.296	3.446	-0.009	0.007	-0.009	0.185	0.889	0.733	0.000	0.000	118.8123905	31.8867538
671412.908	3529315.612	2.258	-0.287	3.446	-0.003	0.004	-0.003	0.149	0.618	0.386	0.000	0.000	118.8123919	31.8867528
671412.908	3529315.612	2.258	-0.282	3.455	-0.006	0.002	-0.006	-0.033	0.776	-0.233	0.000	0.000	118.8123919	31.8867528
671413.045	3529315.502	2.258	-0.273	3.472	-0.008	0.005	-0.008	-0.056	0.323	-0.535	0.000	0.000	118.8123933	31.8867518
671413.045	3529315.502	2.258	-0.269	3.472	-0.011	0.007	-0.011	-0.029	0.482	-0.317	0.000	0.000	118.8123933	31.8867518
671413.183	3529315.392	2.258	-0.264	3.498	0.004	0.010	0.004	-0.080	1.259	0.130	0.000	0.000	118.8123947	31.8867508
671413.322	3529315.281	2.258	-0.120	3.498	-0.006	-0.002	-0.006	0.078	0.425	0.128	0.000	0.000	118.8123962	31.8867498
671413.322	3529315.281	2.258	-0.120	3.498	-0.011	-0.003	-0.011	-0.013	0.639	0.296	0.000	0.000	118.8123962	31.8867498
671413.463	3529315.168	2.258	-0.116	3.498	-0.003	-0.002	-0.003	-0.002	0.548	0.177	0.000	0.000	118.8123977	31.8867487
671413.463	3529315.168	2.258	-0.111	3.681	-0.009	-0.003	-0.009	-0.067	0.665	0.053	0.000	0.000	118.8123977	31.8867487
